epoch,phase,source_best_epoch,total_loss,data_loss,ode_loss,ic_loss,forcing_loss,smooth_loss,d_smooth_loss,weighted_data_loss,weighted_ode_loss,weighted_ic_loss,weighted_forcing_loss,weighted_smooth_loss,weighted_d_smooth_loss,train_R2,all_R2,test_R2,optimizer_loss_before_step,summary_train_R2,summary_RMSE,summary_MAE
1,train,,0.30005553364753723,0.24485738575458527,8.732973098754883,0.5476126670837402,0.0023516679648309946,9.879569384807496e-11,7.939382157928776e-06,0.24485738575458527,0.0004366486391518265,0.05476126819849014,2.3516679448221112e-07,9.8795700353288e-14,3.969690895444522e-11,-4.372127816323321,-4.372127816323321,,0.3267243504524231,,,
25,train,,0.02569136768579483,0.01780608855187893,149.3599395751953,0.004170634783804417,0.0022014847490936518,5.0000082296719484e-08,0.0001200296392198652,0.01780608855187893,0.007467996794730425,0.00041706347838044167,2.2014846479123662e-07,5.0000083934298445e-11,6.001481533957076e-10,0.7787151481573041,0.7787151481573041,,0.028910282999277115,,,
50,train,,0.019120782613754272,0.013459754176437855,111.17362976074219,0.0010211068438366055,0.002368596848100424,2.0945232392932667e-07,9.436763502890244e-05,0.013459754176437855,0.005558681208640337,0.0001021106872940436,2.3685967676101427e-07,2.094523304796425e-10,4.71838179638695e-10,0.8311211506003278,0.8311211506003278,,0.01939499005675316,,,
75,train,,0.01755102165043354,0.011843720450997353,112.6993408203125,0.0007204757421277463,0.0028715450316667557,5.15321801231039e-07,9.819001570576802e-05,0.011843720450997353,0.0056349667720496655,7.204757275758311e-05,2.8715450639538176e-07,5.153218407549787e-10,4.909500583849535e-10,0.857098677688736,0.857098677688736,,0.01759174093604088,,,
100,train,,0.0169492419809103,0.011691022664308548,104.48917388916016,0.00033392568002454937,0.0036614856217056513,1.101195607589034e-06,9.346400474896654e-05,0.011691022664308548,0.005224458407610655,3.3392567274859175e-05,3.661485550310317e-07,1.101195690189627e-09,4.673200160176805e-10,0.8602365766450223,0.8602365766450223,,0.016969574615359306,,,
125,train,,0.01649954356253147,0.011361027136445045,102.15548706054688,0.00030261348001658916,0.00480325473472476,2.084521611322998e-06,9.447178308619186e-05,0.011361027136445045,0.0051077743992209435,3.0261348001658916e-05,4.803254682883562e-07,2.08452166639006e-09,4.723589297483954e-10,0.8648140343218522,0.8648140343218522,,0.01651487872004509,,,
150,train,,0.016207190230488777,0.011130793951451778,100.44422912597656,0.0005355027969926596,0.006302138790488243,3.482834699752857e-06,9.507303911959752e-05,0.011130793951451778,0.005022211465984583,5.355028042686172e-05,6.302138899627607e-07,3.482834909362964e-09,4.753651916544754e-10,0.8685375718693908,0.8685375718693908,,0.016215581446886063,,,
175,train,,0.017910875380039215,0.012616408057510853,103.7603530883789,0.0010564293479546905,0.008016892708837986,5.363985565054463e-06,9.874532406684011e-05,0.012616408057510853,0.0051880176179111,0.00010564293916104361,8.016892252271646e-07,5.363985700057583e-09,4.937266151472386e-10,0.8406695001147866,0.8406695001147866,,0.016895338892936707,,,
200,train,,0.016125131398439407,0.011084354482591152,100.03156280517578,0.00038142967969179153,0.010466699488461018,9.067340215551667e-06,9.653459710534662e-05,0.011084354482591152,0.005001578014343977,3.814296724158339e-05,1.0466699222888565e-06,9.067340656088163e-09,4.826729571583144e-10,0.8690845699188048,0.8690845699188048,,0.01625513844192028,,,
225,train,,0.015974750742316246,0.011046314612030983,97.6549072265625,0.0004427818057592958,0.01394922100007534,1.666199204919394e-05,9.498147119302303e-05,0.011046314612030983,0.004882745444774628,4.4278182031121105e-05,1.3949220374342985e-06,1.666199267447155e-08,4.7490733567912e-10,0.8701205901216768,0.8701205901216768,,0.015977593138813972,,,
250,train,,0.015896188095211983,0.010978261940181255,97.49213409423828,0.0004139051306992769,0.018981557339429855,3.136043233098462e-05,9.540023165754974e-05,0.010978261940181255,0.004874606616795063,4.1390514525119215e-05,1.8981556877406547e-06,3.136043247309317e-08,4.770011607924118e-10,0.870276673288071,0.870276673288071,,0.01589924842119217,,,
